beignets de bananes plantains;dessert;200g de farine de ble,4 bananes plantains bien mures,1 oeuf,1 cuillere a cafe de vanille,60g de sucre,huile de friture,11g de levure chimique
brioche;dessert;1 cube de levure de boulanger,1 cuillere a cafe de sel,350 g de farine,175g de beurre,2 cuilleres a soupe d'eau fraiche,4oeufs entiers,50g de sucre en poudre
tuiles au potimarron;entree;40g de farine,2 blancs d'oeufs,40g de beurre,20g de puree de potimarron
couscous de printemps;plat;500g de couscous moyen,2carottes,2 navets,2 artichauts,1 grosse poignee de petits pois, poignee de haricots verts,1 grosse poignee de feve fraiches,huile d'olive
tarte tatin au chevre;plat;romarin,thym,sel,1 pate brisee,2 aubergines,3 poivrons,1 oignon rouge,3 tomates,500g de chevre frais,huile d'olive,poivre,sarriette
crumble a la rubarbe;dessert;125g de farine,500g de rhubarbe,1 pomme,90g de beurre,60g de cassonade,1 sachet de sucre vanille
bavarois au fraise;dessert;125g de farine,125g de sucre,4 jaunes d'oeufs,4 blancs d'oeufs,6 feuilles de gelatine,500g de fraise,1 citron,40cl de creme liquide,220g de sucre
salade cesar au poulet;entree;sel,piment d'espelette,4 escaloppes de poulet,1 salade verte,parmesan en copeaux,7 biscottes,oeufs durs,1 citron,1 echalottes,5g de beurre,poivre
gateau breton;dessert;1 verre de rhum,450g de farine,10 jaunes d'oeufs,300g de sucre,370g de beurre demi sel,la moitie d'un paquet de levure chimique
pamplemousse souffle;dessert;1 pince de sel,1 cuillere de farine,4 pamplemousse,90g de sucre en poudre,3 oeufs
veloute de potiron et carotte;entree;muscade,sel,1kg de potiron,500g de carotte,2 pommes de terre,1 gousse d'ail,1 oignon,505ml de lait,500ml de bouillon de volaille,1 cuillere a soupe d'huile d'olive,persil,poivre
pain;entree;1cuillere a cafe de sel,500g de farine,1 sachet de levure de boulanger,1.5 verre d'eau chaude,1 cuillere a soupe d'huile d'olive
soupe au chou vert;entree;thym,sel,3 saucisses,1 chou vert,4 carottes,5 pommes de terre,2 navets,poivre,laurier,2 cubes bouillon
flan de courgette;entree;1kg de courgette,100g de gruyere rape,8 cuilleres de lait,6 oeufs,20 feuilles de basilic
oeufs mollet au micro onde;entree;1 oeuf
gaspacho;entree;sel,9 tomates,3 poivrons,2 comcombres,1 oignon,1 gousse d'ail,4 oignons nouveaux,2 cuillere a soupe de vinaigre,1 tranche de pain de mie,2 oeufs durs,basilic frais
tourte aux champignons;entree;sel,2 pates feuillete,500g de champignon de paris,100g d'emmental rape,huile,25cl de creme freche,1 jaune d'oeuf,poivre
samoussa au boeuf;entree;huile de friture,1 cuillere a caffede curry,5 feuilles de brick,250g de boeuf haché,1 carotte,1 oignon,1 gousse d'ail,1 cuillere a cafe de gingembre,5 cuillere a soupe de sauce soja,1 jaune d'oeuf,huile d'olive
oeufs mimosa;entree;4 oeufs, 1 petit bol de mayonnaise,feuille de laitue,persil hache,olives noires,1 jaune d'oeufs,1 cuillere a cafe de moutarde,250ml d'huile
rouleau de printemps;entree;300g de vermicelle de riz,6 galettes de riz,50g de crevettes,50g de porc coupe en morceaux,6 feuilles de salade,6 feuilles de menthe
